story_id,lane,length,violation_count,categories,markers
1084,web,short,2,WEB_CONTRACTION,\bcouldn['’]t\b;\bthat['’]s\b
1084,web,long,0,,
1084,web,full,0,,
1085,kjv,full,0,,
1085,kjv,long,0,,
1085,kjv,short,0,,
1085,web,short,0,,
1085,web,short,1,WEB_CONTRACTION,\bcouldn['’]t\b
1085,web,long,0,,
1085,web,full,0,,
1086,kjv,short,0,,
1086,web,short,6,WEB_CONTRACTION,\baren['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b;\bit['’]s\b;\bhe['’]s\b;\byou['’]re\b
1086,web,full,1,WEB_CONTRACTION,\bisn['’]t\b
1086,web,long,3,WEB_CONTRACTION,\bisn['’]t\b;\bdon['’]t\b;\bit['’]s\b
1086,web,short,1,WEB_CONTRACTION,\bisn['’]t\b
1086,kjv,long,0,,
1086,kjv,full,0,,
1087,web,full,0,,
1087,web,long,0,,
1087,web,short,1,WEB_CONTRACTION,\bit['’]s\b
1087,web,short,0,,
1087,kjv,long,0,,
1087,kjv,full,0,,
1087,kjv,short,0,,
1088,kjv,long,0,,
1088,web,short,4,WEB_CONTRACTION,\bcan['’]t\b;\bdon['’]t\b;\bshouldn['’]t\b;\bI['’]m\b
1088,kjv,full,0,,
1088,web,full,1,WEB_CONTRACTION,\bdon['’]t\b
1088,web,long,0,,
1088,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1088,kjv,short,0,,
1089,kjv,long,0,,
1089,kjv,full,0,,
1089,web,short,5,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bshouldn['’]t\b;\bthat['’]s\b;\byou['’]re\b
1089,kjv,short,0,,
1089,web,short,0,,
1089,web,full,0,,
1089,web,long,0,,
1090,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bwe['’]re\b
1090,web,full,0,,
1090,web,long,0,,
1090,kjv,long,0,,
1090,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1090,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1090,web,short,0,,
1091,web,full,0,,
1091,web,long,0,,
1091,web,short,0,,
1091,kjv,short,0,,
1091,web,long,7,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bdon['’]t\b;\bwon['’]t\b;\bthey['’]re\b;\bI['’]m\b;\byou['’]re\b
1091,web,short,6,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bdon['’]t\b;\bwon['’]t\b;\bcouldn['’]t\b;\bthey['’]re\b
1091,web,full,5,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bdon['’]t\b;\bwon['’]t\b;\bthey['’]re\b
1091,kjv,long,0,,
1091,kjv,full,0,,
1092,web,full,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b
1092,kjv,full,0,,
1092,kjv,long,0,,
1092,web,long,5,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b;\bI['’]m\b
1092,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
